Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.0240369, 0.04, 0.975963
0.01, 0.0349663, 0.04, 0.965034
0.01, 0.0246787, 0.04, 0.975321
0.01, 0.0197384, 0.04, 0.980262
0.01, 0.0291494, 0.04, 0.970851
0.01, 0.0242933, 0.04, 0.975707
0.01, 0.0224348, 0.04, 0.977565
0.01, 0.0196816, 0.04, 0.980318
0.01, 0.023425, 0.04, 0.976575
0.01, 0.0237456, 0.04, 0.976254
0.01, 0.0274251, 0.04, 0.972575
0.01, 0.0246689, 0.04, 0.975331
0.01, 0.0250722, 0.04, 0.974928
0.01, 0.0239304, 0.04, 0.97607
0.01, 0.0234945, 0.04, 0.976505
0.01, 0.0251125, 0.04, 0.974888
0.01, 0.0249933, 0.04, 0.975007
0.01, 0.0241613, 0.04, 0.975839
0.01, 0.0252599, 0.04, 0.97474
0.01, 0.0247328, 0.04, 0.975267
0.01, 0.0233857, 0.04, 0.976614
0.01, 0.0258504, 0.04, 0.97415
0.01, 0.023826, 0.04, 0.976174
0.01, 0.027848, 0.04, 0.972152
0.01, 0.0241416, 0.04, 0.975858
0.01, 0.0213949, 0.04, 0.978605
0.01, 0.0213903, 0.04, 0.97861
0.01, 0.0264828, 0.04, 0.973517
0.01, 0.0277475, 0.04, 0.972252
0.01, 0.0242379, 0.04, 0.975762
0.01, 0.0280405, 0.04, 0.97196
0.01, 0.0252597, 0.04, 0.97474
0.01, 0.0187395, 0.04, 0.981261
0.01, 0.0234747, 0.04, 0.976525
0.01, 0.0264757, 0.04, 0.973524
0.01, 0.0236601, 0.04, 0.97634
0.01, 0.0226076, 0.04, 0.977392
0.01, 0.0235869, 0.04, 0.976413
0.01, 0.0246866, 0.04, 0.975313
0.01, 0.0241964, 0.04, 0.975804
0.01, 0.030126, 0.04, 0.969874
0.01, 0.0212464, 0.04, 0.978754
0.01, 0.0294623, 0.04, 0.970538
0.01, 0.0236362, 0.04, 0.976364
0.01, 0.0214637, 0.04, 0.978536
0.01, 0.0259544, 0.04, 0.974046
0.01, 0.0188924, 0.04, 0.981108
0.01, 0.0262257, 0.04, 0.973774
0.01, 0.0191176, 0.04, 0.980882
0.01, 0.0249212, 0.04, 0.975079
0.01, 0.0193731, 0.04, 0.980627
0.01, 0.0328646, 0.05, 0.967135
0.01, 0.0318832, 0.05, 0.968117
0.01, 0.0328944, 0.05, 0.967106
0.01, 0.0325777, 0.05, 0.967422
0.01, 0.0355031, 0.05, 0.964497
0.01, 0.0337965, 0.05, 0.966204
0.01, 0.0326882, 0.05, 0.967312
0.01, 0.0337986, 0.05, 0.966201
0.01, 0.0336774, 0.05, 0.966323
0.01, 0.0359821, 0.05, 0.964018
0.01, 0.0337676, 0.05, 0.966232
0.01, 0.0323591, 0.05, 0.967641
0.01, 0.0341587, 0.05, 0.965841
0.01, 0.0351568, 0.05, 0.964843
0.01, 0.0391884, 0.05, 0.960812
0.01, 0.028114, 0.05, 0.971886
0.01, 0.0364974, 0.05, 0.963503
0.01, 0.037115, 0.05, 0.962885
0.01, 0.037127, 0.05, 0.962873
0.01, 0.031698, 0.05, 0.968302
0.01, 0.0341665, 0.05, 0.965833
0.01, 0.0318931, 0.05, 0.968107
0.01, 0.0300001, 0.05, 0.97
0.01, 0.0283445, 0.05, 0.971656
0.01, 0.031025, 0.05, 0.968975
0.01, 0.0357752, 0.05, 0.964225
0.01, 0.0315399, 0.05, 0.96846
0.01, 0.0309321, 0.05, 0.969068
0.01, 0.034591, 0.05, 0.965409
0.01, 0.0356207, 0.05, 0.964379
0.01, 0.0358627, 0.05, 0.964137
0.01, 0.0388834, 0.05, 0.961117
0.01, 0.0325234, 0.05, 0.967477
0.01, 0.0324376, 0.05, 0.967562
0.01, 0.0403814, 0.05, 0.959619
0.01, 0.0340133, 0.05, 0.965987
0.01, 0.0375351, 0.05, 0.962465
0.01, 0.0295344, 0.05, 0.970466
0.01, 0.0341999, 0.05, 0.9658
