Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0.00538817, 0.035, 0.994612
0, 0.00630331, 0.035, 0.993697
0, 0.00637625, 0.035, 0.993624
0, 0.00354705, 0.035, 0.996453
0, 0.00601119, 0.035, 0.993989
0, 0.00708433, 0.035, 0.992916
0, 0.0047141, 0.035, 0.995286
0, 0.00568982, 0.035, 0.99431
0, 0.00509829, 0.035, 0.994902
0, 0.00320825, 0.035, 0.996792
0, 0.00566454, 0.035, 0.994335
0, 0.0050209, 0.035, 0.994979
0, 0.00621905, 0.035, 0.993781
0, 0.0065873, 0.035, 0.993413
0, 0.00478771, 0.035, 0.995212
0, 0.00756791, 0.035, 0.992432
0, 0.00538634, 0.035, 0.994614
0, 0.00420348, 0.035, 0.995797
0, 0.00699493, 0.035, 0.993005
0, 0.00632827, 0.035, 0.993672
0, 0.00878808, 0.035, 0.991212
0, 0.0055254, 0.035, 0.994475
0, 0.00598762, 0.035, 0.994012
0, 0.00606719, 0.035, 0.993933
0, 0.00494718, 0.035, 0.995053
0, 0.00595887, 0.035, 0.994041
0, 0.0074109, 0.035, 0.992589
0, 0.00693277, 0.04, 0.993067
0, 0.00438869, 0.04, 0.995611
0, 0.00736596, 0.04, 0.992634
0, 0.00670218, 0.04, 0.993298
